Id,Display,Name,Visible,FileName,Length
1,1,"编号",0,"emp_id",950
2,2,"姓名                                    ",1,"emp_name",900
3,3,"刷卡日期",1,"kqrq",1150
4,5,"班次名称",1,"bc",1100
5,6,"上班1                                   ",1,"kqsj1",600
6,7,"下班1                                   ",1,"kqsj2",600
7,8,"上班2                                   ",1,"kqsj3",600
8,9,"下班2                                   ",1,"kqsj4",600
9,10,"上班3",1,"kqsj5",600
10,11,"下班3                                   ",1,"kqsj6",600
11,12,"应出勤
天  数",1,"ygts",700
12,13,"实出勤
天  数",1,"sjts",700
13,14,"缺勤
天数",1,"kgts",500
14,25,"公假
小时",1,"jrsj",500
15,28,"请假
小时",0,"qjsj",500
16,15,"工作
小时",1,"sjsj",500
17,21,"平时加
班小时",1,"jbsj1",700
18,22,"周末加
班小时",1,"jbsj2",700
19,23,"假日加
班小时",1,"jbsj3",700
20,24,"加班
小时",0,"hjjbsj",500
21,16,"迟到
分钟",1,"hjcd",500
22,18,"早退
分钟",1,"hjzt",500
23,17,"迟到
次数",0,"cdcs",500
24,19,"早退
次数",0,"ztcs",500
25,26,"无薪
假日",1,"qjsj1",500
26,27,"有薪
假日",1,"qjsj2",500
27,29,"外出
小时",1,"qjsj3",500
28,20,"少卡
次数",1,"hjxk",500
29,30,"备注",1,"bz",1350
30,4,"星期",1,"kqrq as week1",750
