Id,Display,Name,Visible,FileName,Length
1,1,"年月                                    ","1         ","R.YM                                    ",875
2,2,"工号                                    ","1         ","R.emp_id                                ",750
3,3,"姓名                                    ","1         ","E.emp_name                              ",750
4,4,"卡号                                    ","1         ","E.card_id                               ",1000
5,5,"部门名称                                ","1         ","D.depart_name                           ",1500
6,6,"更新日期                                ","1         ","R.update_date                           ",970
7,7,"月天数                                  ","1         ","R.month_days                            ",750
8,8,"休息天数                                ","1         ","R.sun_days                              ",900
9,9,"假日天数                                ","1         ","R.hd_days                               ",900
10,10,"工作天数                                ","1         ","R.work_days                             ",900
11,11,"缺勤天数                                ","1         ","R.absent_days                           ",900
12,12,"平时加班                                ","1         ","R.ot_hrs                                ",900
13,13,"周未加班                                ","1         ","R.sun_hrs                               ",900
14,14,"假日加班                                ","1         ","R.hd_hrs                                ",900
15,15,"迟到分钟                                ","1         ","R.late_mins                             ",900
16,16,"迟到次数                                ","1         ","R.late_count                            ",900
17,17,"早退分钟                                ","1         ","R.leave_mins                            ",900
18,18,"早退次数                                ","1         ","R.leave_count                           ",900
19,20,"大夜次数                                ","0         ","R.ns_count                              ",900
20,19,"小夜次数                                ","0         ","R.mid_count                             ",900
21,21,"工作小时                                ","0         ","R.work_hrs                              ",900
22,22,"病假                                    ","0         ","R.l0hrs                                 ",500
23,23,"事假                                    ","0         ","R.l1hrs                                 ",500
